iter	Passed	Remaining
0	3	318
1	6	313
2	8	265
3	10	246
4	12	236
5	14	231
6	16	225
7	19	223
8	21	217
9	23	209
10	25	204
11	26	197
12	28	190
13	31	191
14	33	189
15	35	186
16	37	180
17	38	174
18	40	170
19	41	165
20	42	160
21	44	157
22	46	154
23	48	153
24	50	150
25	51	147
26	53	143
27	54	139
28	55	135
29	56	131
30	58	129
31	59	126
32	61	125
33	63	124
34	65	121
35	66	118
36	67	115
37	69	113
38	70	111
39	72	109
40	74	106
41	76	105
42	77	103
43	79	101
44	80	98
45	81	96
46	82	93
47	84	91
48	85	88
49	86	86
50	87	83
51	88	81
52	89	79
53	90	77
54	91	75
55	93	73
56	94	71
57	95	69
58	96	67
59	98	65
60	99	63
61	100	61
62	101	59
63	103	58
64	104	56
65	105	54
66	107	52
67	108	51
68	109	49
69	110	47
70	112	45
71	113	44
72	114	42
73	116	40
74	117	39
75	118	37
76	119	35
77	120	34
78	122	32
79	123	30
80	124	29
81	125	27
82	126	25
83	127	24
84	128	22
85	129	21
86	131	19
87	132	18
88	133	16
89	134	14
90	135	13
91	137	11
92	138	10
93	139	8
94	140	7
95	141	5
96	142	4
97	143	2
98	144	1
99	145	0
